xy,danger,danger_rank,center,위도,경도
"['129.08372298751368', '35.83893699227623', '129.08339503386745', '35.84071988882167']",13.32,4,"[35.83982844054895, 129.08355901069058]",35.83982844054895,129.08355901069058
"['129.0832769689347', '35.841566567933036', '129.08359198827753', '35.83892099176794']",18.77,4,"[35.84024377985049, 129.08343447860614]",35.84024377985049,129.08343447860614
"['129.08372298751368', '35.83893699227623', '129.08339503386745', '35.84071988882167']",14.56,4,"[35.83982844054895, 129.08355901069058]",35.83982844054895,129.08355901069058
"['129.0832769689347', '35.841566567933036', '129.08359198827753', '35.83892099176794']",20.5,4,"[35.84024377985049, 129.08343447860614]",35.84024377985049,129.08343447860614
"['129.08372298751368', '35.83893699227623', '129.08339503386745', '35.84071988882167']",14.53,4,"[35.83982844054895, 129.08355901069058]",35.83982844054895,129.08355901069058
"['129.0832769689347', '35.841566567933036', '129.08359198827753', '35.83892099176794']",20.47,4,"[35.84024377985049, 129.08343447860614]",35.84024377985049,129.08343447860614
"['129.08372298751368', '35.83893699227623', '129.08339503386745', '35.84071988882167']",13.11,4,"[35.83982844054895, 129.08355901069058]",35.83982844054895,129.08355901069058
"['129.0832769689347', '35.841566567933036', '129.08359198827753', '35.83892099176794']",18.46,4,"[35.84024377985049, 129.08343447860614]",35.84024377985049,129.08343447860614
"['129.13689062829448', '35.81885767338828', '129.13906499622158', '35.81852894914085']",8.93,3,"[35.81869331126457, 129.13797781225804]",35.81869331126457,129.13797781225804
"['129.17681315348756', '35.812043922981424', '129.17902069449255', '35.81192927788708']",8.93,3,"[35.81198660043425, 129.17791692399004]",35.81198660043425,129.17791692399004
"['129.182666987973', '35.81005799172089', '129.183857993308', '35.80853856516592']",25.0,4,"[35.80929827844341, 129.18326249064052]",35.80929827844341,129.18326249064052
"['129.13689062829448', '35.81885767338828', '129.13906499622158', '35.81852894914085']",8.93,3,"[35.81869331126457, 129.13797781225804]",35.81869331126457,129.13797781225804
"['129.17681315348756', '35.812043922981424', '129.17902069449255', '35.81192927788708']",8.93,3,"[35.81198660043425, 129.17791692399004]",35.81198660043425,129.17791692399004
"['129.182666987973', '35.81005799172089', '129.183857993308', '35.80853856516592']",25.0,4,"[35.80929827844341, 129.18326249064052]",35.80929827844341,129.18326249064052
"['129.13689062829448', '35.81885767338828', '129.13906499622158', '35.81852894914085']",8.93,3,"[35.81869331126457, 129.13797781225804]",35.81869331126457,129.13797781225804
"['129.17681315348756', '35.812043922981424', '129.17902069449255', '35.81192927788708']",8.93,3,"[35.81198660043425, 129.17791692399004]",35.81198660043425,129.17791692399004
"['129.182666987973', '35.81005799172089', '129.183857993308', '35.80853856516592']",25.0,4,"[35.80929827844341, 129.18326249064052]",35.80929827844341,129.18326249064052
"['129.13689062829448', '35.81885767338828', '129.13906499622158', '35.81852894914085']",8.93,4,"[35.81869331126457, 129.13797781225804]",35.81869331126457,129.13797781225804
"['129.17681315348756', '35.812043922981424', '129.17902069449255', '35.81192927788708']",8.93,4,"[35.81198660043425, 129.17791692399004]",35.81198660043425,129.17791692399004
"['129.182666987973', '35.81005799172089', '129.183857993308', '35.80853856516592']",25.0,4,"[35.80929827844341, 129.18326249064052]",35.80929827844341,129.18326249064052
"['129.0648486286549', '35.869320876720764', '129.0632798529902', '35.87059299072581']",27.03,4,"[35.86995693372329, 129.06406424082255]",35.86995693372329,129.06406424082255
"['129.0648486286549', '35.869320876720764', '129.0632798529902', '35.87059299072581']",27.03,4,"[35.86995693372329, 129.06406424082255]",35.86995693372329,129.06406424082255
"['129.0648486286549', '35.869320876720764', '129.0632798529902', '35.87059299072581']",27.03,4,"[35.86995693372329, 129.06406424082255]",35.86995693372329,129.06406424082255
"['129.0648486286549', '35.869320876720764', '129.0632798529902', '35.87059299072581']",27.03,4,"[35.86995693372329, 129.06406424082255]",35.86995693372329,129.06406424082255
"['128.7145436428994', '35.87663006648319', '128.7123412237809', '35.87682415372058']",11.84,3,"[35.87672711010188, 128.71344243334016]",35.87672711010188,128.71344243334016
"['128.76070886280382', '35.874617301066024', '128.75868999502924', '35.873875222655656']",25.16,4,"[35.87424626186084, 128.75969942891652]",35.87424626186084,128.75969942891652
"['128.75648665525208', '35.873076532315665', '128.75447002426455', '35.87233064321774']",25.16,4,"[35.8727035877667, 128.75547833975833]",35.8727035877667,128.75547833975833
"['128.7145436428994', '35.87663006648319', '128.7123412237809', '35.87682415372058']",11.84,4,"[35.87672711010188, 128.71344243334016]",35.87672711010188,128.71344243334016
"['128.76070886280382', '35.874617301066024', '128.75868999502924', '35.873875222655656']",25.16,4,"[35.87424626186084, 128.75969942891652]",35.87424626186084,128.75969942891652
"['128.75648665525208', '35.873076532315665', '128.75447002426455', '35.87233064321774']",25.16,4,"[35.8727035877667, 128.75547833975833]",35.8727035877667,128.75547833975833
"['128.7145436428994', '35.87663006648319', '128.7123412237809', '35.87682415372058']",11.84,4,"[35.87672711010188, 128.71344243334016]",35.87672711010188,128.71344243334016
"['128.76070886280382', '35.874617301066024', '128.75868999502924', '35.873875222655656']",25.16,4,"[35.87424626186084, 128.75969942891652]",35.87424626186084,128.75969942891652
"['128.75648665525208', '35.873076532315665', '128.75447002426455', '35.87233064321774']",25.16,4,"[35.8727035877667, 128.75547833975833]",35.8727035877667,128.75547833975833
"['128.7145436428994', '35.87663006648319', '128.7123412237809', '35.87682415372058']",11.84,4,"[35.87672711010188, 128.71344243334016]",35.87672711010188,128.71344243334016
"['128.76070886280382', '35.874617301066024', '128.75868999502924', '35.873875222655656']",25.16,4,"[35.87424626186084, 128.75969942891652]",35.87424626186084,128.75969942891652
"['128.75648665525208', '35.873076532315665', '128.75447002426455', '35.87233064321774']",25.16,4,"[35.8727035877667, 128.75547833975833]",35.8727035877667,128.75547833975833
"['128.90964984550516', '35.903044624011955', '128.91185389917328', '35.90285846692465']",25.16,4,"[35.9029515454683, 128.91075187233923]",35.9029515454683,128.91075187233923
"['128.81459409924886', '35.8778220204206', '128.81677504882995', '35.87750726675198']",25.16,4,"[35.877664643586286, 128.8156845740394]",35.877664643586286,128.8156845740394
"['128.79920982558627', '35.8767595168395', '128.80141255320135', '35.87694380816198']",5.92,3,"[35.87685166250074, 128.80031118939382]",35.87685166250074,128.80031118939382
"['128.90964984550516', '35.903044624011955', '128.91185389917328', '35.90285846692465']",25.16,4,"[35.9029515454683, 128.91075187233923]",35.9029515454683,128.91075187233923
"['128.81459409924886', '35.8778220204206', '128.81677504882995', '35.87750726675198']",25.16,4,"[35.877664643586286, 128.8156845740394]",35.877664643586286,128.8156845740394
"['128.90964984550516', '35.903044624011955', '128.91185389917328', '35.90285846692465']",25.16,4,"[35.9029515454683, 128.91075187233923]",35.9029515454683,128.91075187233923
"['128.81459409924886', '35.8778220204206', '128.81677504882995', '35.87750726675198']",25.16,4,"[35.877664643586286, 128.8156845740394]",35.877664643586286,128.8156845740394
"['128.79920982558627', '35.8767595168395', '128.80141255320135', '35.87694380816198']",5.92,3,"[35.87685166250074, 128.80031118939382]",35.87685166250074,128.80031118939382
"['128.90964984550516', '35.903044624011955', '128.91185389917328', '35.90285846692465']",25.16,4,"[35.9029515454683, 128.91075187233923]",35.9029515454683,128.91075187233923
"['128.81459409924886', '35.8778220204206', '128.81677504882995', '35.87750726675198']",25.16,4,"[35.877664643586286, 128.8156845740394]",35.877664643586286,128.8156845740394
"['129.18760198803872', '35.808854992350234', '129.18588059095055', '35.8077220046077']",5.83,3,"[35.808288498478966, 129.18674128949465]",35.808288498478966,129.18674128949465
"['129.18760198803872', '35.808854992350234', '129.18588059095055', '35.8077220046077']",5.83,3,"[35.808288498478966, 129.18674128949465]",35.808288498478966,129.18674128949465
"['129.19314894921627', '35.7196835076536', '129.1928295342431', '35.71830556422037']",8.91,3,"[35.718994535936986, 129.19298924172966]",35.718994535936986,129.19298924172966
"['129.195074612563', '35.73035536220703', '129.1949959391943', '35.728553921420215']",6.01,3,"[35.72945464181362, 129.19503527587864]",35.72945464181362,129.19503527587864
"['129.19314894921627', '35.7196835076536', '129.1928295342431', '35.71830556422037']",8.91,3,"[35.718994535936986, 129.19298924172966]",35.718994535936986,129.19298924172966
"['129.19314894921627', '35.7196835076536', '129.1928295342431', '35.71830556422037']",8.91,3,"[35.718994535936986, 129.19298924172966]",35.718994535936986,129.19298924172966
